Title,Severity,URL
SQL Injection when using FilteredRelation,Critical,https://hackerone.com/reports/3292573
SQL injection in JSONField KeyTransform,High,https://hackerone.com/reports/2588426
Woocommerce SQL Injection in WC_Report_Coupon_Usage,Medium,https://hackerone.com/reports/3198980
Apache Airflow Sql injection by authenticated user,Low,https://hackerone.com/reports/3078856
SQLi | in URL paths,Critical,https://hackerone.com/reports/2958619
"CVE-2024-53908: Django Potential SQL injection in `HasKey(lhs, rhs)` on Oracle",High,https://hackerone.com/reports/2882887
Boolen Based Blind Sql Injection Via User Agent in ███.mil,Medium,https://hackerone.com/reports/2599826
Time-based blind SQL injection,Medium,https://hackerone.com/reports/2759243
SQL injection in URL path leads to Database Access,Critical,https://hackerone.com/reports/2633959
SQL Injection,High,https://hackerone.com/reports/2737595
Blind Sql Injection in https://████,Medium,https://hackerone.com/reports/2597543
SQL injection in https://demor.adr.acronis.com/ via the username parameter,High,https://hackerone.com/reports/1436751
SQL injection in /errors/viewbuild/,Critical,https://hackerone.com/reports/690349
sqli on █████████ search functionality,Medium,https://hackerone.com/reports/2446550
Sqli on ██████ search functionality,Medium,https://hackerone.com/reports/2453475
SQL injection on ██████████ via 'where' parameter,Medium,https://hackerone.com/reports/2433970
Blind SQL Injection on █████ via URI Path,Critical,https://hackerone.com/reports/2266081
SQL Injection on prod.oidc-proxy.prod.webservices.mozgcp.net via invite_code parameter - Mozilla social inscription,Critical,https://hackerone.com/reports/2209130
Time based SQL injection at████████,High,https://hackerone.com/reports/2312334
SQL injection at ███████,Critical,https://hackerone.com/reports/2256032
Blind SQL injection on id.indrive.com,Critical,https://hackerone.com/reports/2051931
Blind Sql Injection in https://█████/qsSearch.aspx,High,https://hackerone.com/reports/2081316
Blind Sql Injection in https://████████/,High,https://hackerone.com/reports/2072306
SqlInject at ██████,Medium,https://hackerone.com/reports/2073717
SQL Injection in version 1.4.3 and below,High,https://hackerone.com/reports/1506129
Blind Sql Injection https:/████████,Medium,https://hackerone.com/reports/2020429
